template_id,median_z,mean_z,minchi2,mode_z,z_sigma68,z_sigma,z_mc
5,0.98458567623391,1.0196584801791058,0.6634441325489888,0.9500000000000001,0.1653944388396712,0.18179023859390056,1.0491228396334242
4,1.008398198568972,1.044616312462547,0.4831669158135412,0.98,0.17831404526084654,0.1865272039043624,0.8513195666108222
14,0.7184883157639578,0.7240380421188316,2.4398749547878538,0.7000000000000001,0.08718628538557682,0.09536401809267768,0.6664487422425711
14,0.7076313343298276,0.712332009419138,2.6252602359572847,0.7000000000000001,0.08603096785071834,0.0962479207318739,0.6910616015765925
14,0.7076023889855177,0.712300724516427,2.3894998900610176,0.7000000000000001,0.08660201076801399,0.09698746802929854,0.600003268794222
14,0.7221316415290686,0.7276669049322186,2.700613569499069,0.7000000000000001,0.0873451855186202,0.09483725204175729,0.7178516889540664
14,0.7119756025495059,0.7171478289064838,2.518558361052783,0.7000000000000001,0.08644412729092821,0.09583773910799369,0.625156780006882
8,0.7488893827825025,0.7536608131656631,1.3089424191930448,0.75,0.011722058870488827,0.011467648882286971,0.7357937005811321
8,0.7493553161120402,0.7540795592004417,1.095995184214189,0.76,0.011681603937062468,0.011436823702017696,0.745822635494909
8,0.7494318129269668,0.75414753227566,1.1558145774815785,0.76,0.011695022947787959,0.011436399510650565,0.7455339110707401
8,0.7488253804109204,0.7536020240110055,1.2390440147337358,0.75,0.011735060427290667,0.0114686498119986,0.7674787737989847
8,0.7491755323501957,0.7539189329924387,1.1929473912532558,0.75,0.011665662220655848,0.011449284483750582,0.7685448297562113
2,0.9415344214504571,0.9224905957898006,70.9973032823982,0.9500000000000001,0.0630186953414803,0.059940883454796715,0.9521819771603415
2,0.9414597583088884,0.9209596130810499,71.72595740564611,0.9500000000000001,0.06760633621458367,0.061459014672980025,0.7958338347213925
2,0.9418463757391886,0.9231277767236761,71.60770244758896,0.9500000000000001,0.06306003876868094,0.05994777158463951,0.9376336619612536
2,0.940982838936117,0.9195085542095124,71.24539952378927,0.9500000000000001,0.06970557774189023,0.061945507689824354,0.9522253752995377
2,0.9412415890987755,0.9205694815047923,71.39147654314365,0.9500000000000001,0.06719011314913997,0.06139100481603356,0.9403775319099262
9,0.7200746599038985,0.724679827901545,3.9171092480228253,0.73,0.015923447704317806,0.015961020221690284,0.7332437970052945
9,0.7188955293876135,0.7235396094523235,3.773287294061447,0.72,0.01585923314058796,0.01603820995766544,0.7192936550426193
9,0.7197590330150501,0.7243775878701212,3.84901114454442,0.72,0.01592076971571066,0.015994332965672504,0.7368207903196502
9,0.7190107259076665,0.7236536544001457,3.829962990639615,0.72,0.0158725968830723,0.01603133790281709,0.74211686072361
9,0.7193926733560745,0.724025226811542,3.838548084356262,0.72,0.01590410366923517,0.016016340307819312,0.7305338957440889
8,0.659951620153504,0.6593425585729594,6.201124309482111,0.68,0.028588582347939984,0.028400157034251035,0.6932940004553203
9,0.66035315890927,0.6597787500755445,6.173043464490547,0.68,0.028443026345261024,0.02824009461188374,0.6379516294893968
8,0.6600895373834994,0.659482876394964,6.144417364028413,0.68,0.028571305184697582,0.028369799157567332,0.6632887541786461
8,0.6603121897784566,0.659731522382369,6.231067290500505,0.68,0.028446861643850407,0.02825331233332579,0.6854144437650307
8,0.660261760881449,0.6596722832303796,6.188346918090247,0.68,0.028494943128953287,0.02829576245872607,0.6665287372480377
11,1.0092743345780326,1.0210475675736561,2.878978065087722,0.9500000000000001,0.08962957097926305,0.10290049511951513,0.8682376486843244
11,1.0173619075376013,1.0284685125603763,2.987803435381011,0.9500000000000001,0.09097297777642122,0.10551806529301,1.0404252520697403
11,1.0154039577348526,1.02661261388422,2.9169539460659735,0.9500000000000001,0.0904557805459445,0.1045779886237009,0.917587769979655
11,1.011715131576714,1.0234113356160328,2.9494711917637915,0.9500000000000001,0.09045438932109567,0.10430398071563193,1.052945922042811
11,1.0136332834874735,1.0249595255791877,2.937990395739689,0.9500000000000001,0.09018627727273859,0.10392152733451719,1.1257525546880063
3,0.822677057601405,0.8311327130330012,4.509696815247651,0.9,0.15743916448054102,0.16022171932978418,0.994265229974319
