template_id,median_z,mean_z,minchi2,mode_z,z_sigma68,z_sigma,z_mc,concentration_i,concentration_cal_i,asymmetry_i,clumpiness_i,gini_i,m20_i,mag_sersic_i,mag_cal_i,re_sersic_i,re_cal_i,n_sersic_i,n_sersic_cal_i,ellipticity_sersic_i,ellipticity_sersic_cal_i
27,0.16793895405325168,0.17065590801467898,0.033063027325624716,0.17,0.03313851356747122,0.050337494123181996,0.1276406634075782,2.0455952,-0.511485,0.119075,0.0490196,0.518987,-1.59856,20.812359,-0.087841034,0.6628364,0.059336364,1.21381,-1.0072901,0.62125707,-0.25844294
27,0.1685189650276405,0.17115168569161404,0.031022968726574618,0.17,0.033270486202604255,0.05010231787898812,0.17660062068543567,2.0455952,-0.511485,0.119075,0.0490196,0.518987,-1.59856,20.812359,-0.087841034,0.6628364,0.059336364,1.21381,-1.0072901,0.62125707,-0.25844294
2,0.1651852343279263,0.18663075650390076,4.7220115141280985,0.17,0.02992792976502477,0.07039204990658762,0.1818417991989944,1.8202548,-0.5100651,0.116362,0.0722301,0.485179,-1.63418,19.791025,-0.03787422,1.8570058,-0.023694158,1.6239333,-0.030766726,0.133349,-0.024751008
2,0.16549382363171042,0.18760896967766236,4.74685478797619,0.17,0.03053806754475745,0.07162558574982732,0.1903536088632311,1.8202548,-0.5100651,0.116362,0.0722301,0.485179,-1.63418,19.791025,-0.03787422,1.8570058,-0.023694158,1.6239333,-0.030766726,0.133349,-0.024751008
2,0.16520112007864568,0.18693052194301307,4.610187876447526,0.17,0.030249774649321312,0.07108795038763079,0.1327277693954724,1.8202548,-0.5100651,0.116362,0.0722301,0.485179,-1.63418,19.791025,-0.03787422,1.8570058,-0.023694158,1.6239333,-0.030766726,0.133349,-0.024751008
2,0.16547714427279056,0.18728475552286428,4.866686559727896,0.17,0.030198991545188472,0.07087655148135065,0.15647800044929988,1.8202548,-0.5100651,0.116362,0.0722301,0.485179,-1.63418,19.791025,-0.03787422,1.8570058,-0.023694158,1.6239333,-0.030766726,0.133349,-0.024751008
2,0.16530594147679742,0.18702296990974235,4.715967002970501,0.17,0.030194721150179446,0.07090463118215866,0.1783767821901272,1.8202548,-0.5100651,0.116362,0.0722301,0.485179,-1.63418,19.791025,-0.03787422,1.8570058,-0.023694158,1.6239333,-0.030766726,0.133349,-0.024751008
0,0.5252119908951141,0.5338534826572436,2.28901151052105,0.52,0.021978021846964402,0.02315319051679962,0.5436594951264865,1.976055,-0.511485,0.172017,0.0548368,0.462469,-1.41469,20.685987,-0.06441307,1.1050215,-0.22137856,0.6045577,0.08695769,0.3721786,-0.083521366
0,0.5249657898276888,0.5335729094098803,2.355844369370061,0.52,0.021726458995993903,0.022919022303997588,0.5095608449477773,1.976055,-0.511485,0.172017,0.0548368,0.462469,-1.41469,20.685987,-0.06441307,1.1050215,-0.22137856,0.6045577,0.08695769,0.3721786,-0.083521366
0,0.5249699518596549,0.5335988665115359,2.3445709941843234,0.52,0.021941788850020516,0.023108725865744438,0.538971862423904,1.976055,-0.511485,0.172017,0.0548368,0.462469,-1.41469,20.685987,-0.06441307,1.1050215,-0.22137856,0.6045577,0.08695769,0.3721786,-0.083521366
0,0.525281431116364,0.5339081326049151,2.298565513199719,0.52,0.021818104141763106,0.023015156595265977,0.5268907844861627,1.976055,-0.511485,0.172017,0.0548368,0.462469,-1.41469,20.685987,-0.06441307,1.1050215,-0.22137856,0.6045577,0.08695769,0.3721786,-0.083521366
0,0.525047386946168,0.5336709308356855,2.3343706504319925,0.52,0.02186481344975788,0.023043920155948253,0.5486383482480132,1.976055,-0.511485,0.172017,0.0548368,0.462469,-1.41469,20.685987,-0.06441307,1.1050215,-0.22137856,0.6045577,0.08695769,0.3721786,-0.083521366
19,0.5991466378507101,0.5860465195346642,0.5288541015743249,0.6,0.023658822023689685,0.09816228953671252,0.614026128668837,2.17354,-0.5875701,0.0918724,0.0,0.501959,-1.60542,19.80229,-0.025110245,1.9089227,-0.5952773,1.2925881,0.015788078,0.77778196,-0.04101801
19,0.5992772278389457,0.5845697611756677,0.6295773306192132,0.6,0.023732267501271276,0.10189360545045005,0.6176435630733753,2.17354,-0.5875701,0.0918724,0.0,0.501959,-1.60542,19.80229,-0.025110245,1.9089227,-0.5952773,1.2925881,0.015788078,0.77778196,-0.04101801
19,0.5982997610855124,0.5798192096894126,0.6583135411019612,0.6,0.023956088855025592,0.11021377818918385,0.5980542431223259,2.17354,-0.5875701,0.0918724,0.0,0.501959,-1.60542,19.80229,-0.025110245,1.9089227,-0.5952773,1.2925881,0.015788078,0.77778196,-0.04101801
19,0.6000102127447258,0.5902880363688404,0.483025801837357,0.6,0.02343347706241211,0.08947286168185101,0.6515620631148508,2.17354,-0.5875701,0.0918724,0.0,0.501959,-1.60542,19.80229,-0.025110245,1.9089227,-0.5952773,1.2925881,0.015788078,0.77778196,-0.04101801
19,0.5992476614670924,0.5855833219369035,0.5756015045935783,0.6,0.02367895026033956,0.09947616719289974,0.5900721626645559,2.17354,-0.5875701,0.0918724,0.0,0.501959,-1.60542,19.80229,-0.025110245,1.9089227,-0.5952773,1.2925881,0.015788078,0.77778196,-0.04101801
30,0.5937600862218718,0.5968492112259436,0.1925076597917723,0.6,0.021580938126640914,0.03978485459680705,0.5683691344518866,1.8741251,-0.511485,0.0406163,0.0,0.452112,-1.50426,20.58642,-0.07698059,1.0809811,-0.36301887,1.2336231,0.06932318,0.54725814,-0.12564182
30,0.5941430563363872,0.5973942978707045,0.17890215408988297,0.6,0.02159372612459365,0.03921550428525225,0.5871483997571596,1.8741251,-0.511485,0.0406163,0.0,0.452112,-1.50426,20.58642,-0.07698059,1.0809811,-0.36301887,1.2336231,0.06932318,0.54725814,-0.12564182
30,0.5937894089568954,0.5969097995907809,0.17210929464727087,0.6,0.02157950876273096,0.039673329694624886,0.5812608598539301,1.8741251,-0.511485,0.0406163,0.0,0.452112,-1.50426,20.58642,-0.07698059,1.0809811,-0.36301887,1.2336231,0.06932318,0.54725814,-0.12564182
30,0.5940432365515078,0.5972246170188265,0.1960891521512167,0.6,0.021597685012378076,0.039494889685225985,0.6131502441450095,1.8741251,-0.511485,0.0406163,0.0,0.452112,-1.50426,20.58642,-0.07698059,1.0809811,-0.36301887,1.2336231,0.06932318,0.54725814,-0.12564182
30,0.5939173050389154,0.5970731236772939,0.1842582854505963,0.6,0.02158738913070085,0.03955614321906754,0.590844193209437,1.8741251,-0.511485,0.0406163,0.0,0.452112,-1.50426,20.58642,-0.07698059,1.0809811,-0.36301887,1.2336231,0.06932318,0.54725814,-0.12564182
0,0.5326084015541142,0.5422960302283497,0.9294125042088126,0.53,0.021602135717608606,0.023678808487798138,0.5148162905842285,1.7848799,-0.5088301,0.0824154,0.0490431,0.508197,-1.67827,20.47369,-0.025110245,1.6692226,-0.5952773,1.9919881,0.015788078,0.720382,-0.04101801
0,0.5325447032472996,0.5424194513772271,0.8457554319129486,0.53,0.02228668835898301,0.024403069144020115,0.5312679285336396,1.7848799,-0.5088301,0.0824154,0.0490431,0.508197,-1.67827,20.47369,-0.025110245,1.6692226,-0.5952773,1.9919881,0.015788078,0.720382,-0.04101801
0,0.5326930939037222,0.5425073420902022,0.8983995498037984,0.53,0.0220316818610079,0.024159132161968144,0.5244084219201846,1.7848799,-0.5088301,0.0824154,0.0490431,0.508197,-1.67827,20.47369,-0.025110245,1.6692226,-0.5952773,1.9919881,0.015788078,0.720382,-0.04101801
0,0.5322689518814517,0.5420213774424475,0.8887760188399625,0.53,0.021794975769260427,0.023840022989112652,0.5166362796684835,1.7848799,-0.5088301,0.0824154,0.0490431,0.508197,-1.67827,20.47369,-0.025110245,1.6692226,-0.5952773,1.9919881,0.015788078,0.720382,-0.04101801
0,0.5326063419933464,0.5424137097988885,0.8830643265837352,0.53,0.02201824313654338,0.024127438760568592,0.5251420483785507,1.7848799,-0.5088301,0.0824154,0.0490431,0.508197,-1.67827,20.47369,-0.025110245,1.6692226,-0.5952773,1.9919881,0.015788078,0.720382,-0.04101801
